production_id,name,obra_title,obra_id,productora_name,synopsis,direction,theater,address,barrio,ciudad_partido,localidad,provincia,start_date,end_date,image_id,image_url,instagram,website,source,is_new
218,Te llevo en mi corazón,Te llevo en mi corazón,86716,,,,CENTRO CULTURAL MOLIERE,Balcarce 682,San Telmo,CABA,San Telmo - CABA,CABA,,,207,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/62/000312062.jpg,,https://alternativateatral.com/obra86716-te-llevo-en-mi-corazon,alternativateatral_api,true
219,La jaula abierta,La jaula abierta,86839,,,,EL PISO - CULTURA ESCÉNICA,Hidalgo 878,,Capital Federal,Capital Federal,Buenos Aires,,,208,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/74/000302974.jpg,,https://alternativateatral.com/obra86839-la-jaula-abierta,alternativateatral_api,true
220,Alfonsina 4D,Alfonsina 4D,87373,,,,"ÍTACA, COMPLEJO TEATRAL",Humahuaca 4027,,Capital Federal,Capital Federal,Buenos Aires,,,209,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/52/000300952.jpg,,https://alternativateatral.com/obra87373-alfonsina-4d,alternativateatral_api,true
221,Made in Lanus,Made in Lanus,87385,,,,AUDITORIO DE BELGRANO,Virrey Loreto 2348,,Capital Federal,Capital Federal,Buenos Aires,,,210,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/86/000309786.jpg,,https://alternativateatral.com/obra87385-made-in-lanus,alternativateatral_api,true
222,Cae la noche tropical,Cae la noche tropical,87437,,,,TEATRO HASTA TRILCE,Maza 177,,Capital Federal,Capital Federal,Buenos Aires,,,211,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/45/000297745.jpg,,https://alternativateatral.com/obra87437-cae-la-noche-tropical,alternativateatral_api,true
223,Seguir a flote,Seguir a flote,87494,,,,TEATRO CARLOS CARELLA,Bartolomé Mitre 970,,Capital Federal,Capital Federal,Buenos Aires,,,212,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/19/000276319.jpg,,https://alternativateatral.com/obra87494-seguir-a-flote,alternativateatral_api,true
224,Tercer Cuerpo,Tercer Cuerpo,87629,,,,EL CLUB DEL TEATRO,Rivadavia 3422,,Mar del Plata,Mar del Plata,Buenos Aires,,,213,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/01/000308201.jpg,,https://alternativateatral.com/obra87629-tercer-cuerpo,alternativateatral_api,true
225,Juramos no morir de amor,Juramos no morir de amor,88289,,,,"ÍTACA, COMPLEJO TEATRAL",Humahuaca 4027,,Capital Federal,Capital Federal,Buenos Aires,,,214,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/19/000311319.jpg,,https://alternativateatral.com/obra88289-juramos-no-morir-de-amor,alternativateatral_api,true
226,Cuando el chajá canta las horas,Cuando el chajá canta las horas,88299,,,,TADRON TEATRO,Niceto Vega 4802,,Capital Federal,Capital Federal,Buenos Aires,,,215,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/36/000311636.jpg,,https://alternativateatral.com/obra88299-cuando-el-chaja-canta-las-horas,alternativateatral_api,true
227,CAMERATA BARILOCHE,CAMERATA BARILOCHE,88332,,,,TEATRO MAIPÚ,Maipú 380,,Banfield,Banfield,Buenos Aires,,,216,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/26/000311026.jpg,,https://alternativateatral.com/obra88332-camerata-bariloche,alternativateatral_api,true
